best_threshold,best_value,label,metric
0.047,0.9356254697000752,UNet-CAM,bac
0.47700000000000004,0.9667281546765047,UNet-MP,bac
0.438,0.9670014347202296,UNet-Pseudo,bac
0.20800000000000002,0.9709298353487736,ResNet18,bac
0.304,0.9712031153924985,EffNetB0,bac
