Model,Val_F1,Val_AUC,Val_Acc,Test_F1,Test_AUC,Test_Acc,Timestamp
mobilenetv2_100,0.972972972972973,0.9970793195326911,0.9731404958677686,0.95,0.9888536920027782,0.9506172839506173,2025-08-18T20:26:09.286587
shufflenetv2_x1_0,0.9832635983263598,0.994261119081779,0.9834710743801653,0.9574468085106383,0.9791980756526011,0.9588477366255144,2025-08-18T20:53:11.806711
efficientnet_b0,0.9831223628691983,0.9979162396665984,0.9834710743801653,0.9523809523809523,0.9922755069198584,0.9526748971193416,2025-08-18T21:25:31.294108
resnet18,0.9831932773109243,0.9978479196556671,0.9834710743801653,0.9726315789473684,0.9952907695695627,0.9732510288065843,2025-08-18T21:44:29.381696
convnext_tiny,0.975,0.9948930791828927,0.9752066115702479,0.9623430962343096,0.9926481798316197,0.9629629629629629,2025-08-18T22:29:17.349005
vit_tiny_patch16_224,0.9812889812889813,0.9972928195668511,0.981404958677686,0.9707112970711297,0.992766757576271,0.9711934156378601,2025-08-18T22:56:10.864036
swin_tiny_patch4_window7_224,0.9810526315789474,0.9961399193823871,0.981404958677686,0.9704641350210971,0.9934782240441786,0.9711934156378601,2025-08-18T23:53:42.258972
